damageDealtToTurrets,neutralMinionsKilledTeamJungle,quadraKills,magicalDamageTaken,season,firstTowerKill,firstInhibitorKill,perk2Var2,firstTowerAssist,perk2,role,win,unrealKills,perk3,doubleKills,item2,item5,lane,largestCriticalStrike,totalDamageDealt,perk2Var3,playerScore7,perk0Var1,damageDealtToObjectives,neutralMinionsKilledEnemyJungle,tripleKills,magicDamageDealt,totalTimeCrowdControlDealt,totalMinionsKilled,trueDamageTaken,totalUnitsHealed,perk0,playerScore6,timestamp,firstBloodAssist,trueDamageDealt,perk2Var1,perk1Var2,champion,killingSprees,perk4,gameId,perk5,visionScore,assists,perk1Var1,perk5Var3,magicDamageDealtToChampions,perk0Var3,champLevel,firstInhibitorAssist,item3,perk5Var1,perk3Var1,physicalDamageDealt,participantId,perk0Var2,longestTimeSpentLiving,playerScore4,largestMultiKill,item4,totalPlayerScore,queue,objectivePlayerScore,firstBloodKill,totalDamageTaken,item1,playerScore9,timeCCingOthers,item6,inhibitorKills,damageSelfMitigated,playerScore2,wardsPlaced,goldSpent,pentaKills,playerScore8,perk3Var3,physicalDamageTaken,perk4Var3,perk1Var3,visionWardsBoughtInGame,totalDamageDealtToChampions,physicalDamageDealtToChampions,perk3Var2,playerScore3,playerScore5,playerScore0,perk4Var1,totalHeal,goldEarned,perk1,sightWardsBoughtInGame,playerScore1,neutralMinionsKilled,item0,perkSubStyle,perkPrimaryStyle,combatPlayerScore,kills,perk4Var2,deaths,trueDamageDealtToChampions,wardsKilled,largestKillingSpree,totalScoreRank,platformId,perk5Var2,turretKills
3432,74,1,11788,11,False,False,0,False,8138,NONE,False,0,8135,2,3071,1011,JUNGLE,0,170324,0,0,909,12224,4,1,6650,791,80,2787,1,8112,0,1532287135278,False,5780,18,0,141,2,9111,2831079042,8014,18,2,671,0,353,0,16,False,3742,344,5,157894,2,0,419,0,4,3082,0,420,0,False,34654,3047,0,22,3340,0,23462,0,8,11775,0,0,0,20078,0,0,0,16026,14622,0,0,0,0,1473,14466,12496,8143,0,0,92,1400,8000,8100,0,10,0,6,1050,0,6,0,NA1,0,2
1929,63,0,5395,11,False,False,50,False,9104,NONE,False,0,8014,2,3144,1053,JUNGLE,0,132505,0,0,645,3537,4,0,29933,572,72,1539,1,8010,0,1532284923628,False,6811,15,0,24,3,8135,2831073827,8143,20,6,880,0,3390,0,15,False,3124,761,479,95760,7,0,569,0,2,3047,0,420,0,False,25458,2031,0,23,3340,0,15779,0,7,9575,0,0,0,18524,0,0,0,17227,11496,0,0,0,0,5,7964,11591,9111,0,0,84,1419,8100,8000,0,8,0,8,2341,1,3,0,NA1,0,0
3388,59,0,8147,11,False,False,30,False,9104,NONE,False,0,8014,0,3047,1028,JUNGLE,0,141753,0,0,224,18851,12,0,29278,531,66,1399,1,8010,0,1532282557096,False,7670,15,0,24,2,8135,2831038687,8143,18,4,594,0,4108,0,15,False,3071,611,323,104805,10,0,570,0,1,3211,0,440,0,False,29394,3124,0,20,3340,0,19820,0,7,11775,0,0,0,19847,0,0,0,15019,9413,0,0,0,0,4,7637,12142,9111,0,0,88,1412,8100,8000,0,7,0,8,1498,1,4,0,NA1,0,0
6702,77,0,8624,11,False,False,20,False,9104,NONE,True,0,8014,5,3153,3194,JUNGLE,0,183175,0,0,1942,28194,5,1,6683,791,77,3932,1,8010,0,1532280220243,False,23416,13,0,11,5,8135,2831034057,8143,15,6,1348,0,524,0,16,True,3124,794,646,153075,10,0,522,0,3,3006,0,440,0,False,31903,2421,0,5,3340,1,14928,0,4,13775,0,0,0,19346,0,0,0,30169,19181,0,0,0,0,5,12213,16833,9111,0,0,116,1419,8100,8000,0,18,0,7,10462,1,5,0,NA1,0,3
469,,0,16533,11,False,False,0,False,8138,DUO_SUPPORT,True,0,8135,0,3071,1028,MID,0,63857,0,0,2144,469,,0,12748,60,35,4191,1,8112,0,1532250137557,False,1180,18,0,107,3,9111,2830946163,8014,0,26,938,0,4411,0,18,False,3053,804,5,49929,10,0,195,0,1,3065,0,450,0,False,44100,3047,0,13,2052,0,31074,0,,15050,0,0,0,23375,0,0,0,30403,25037,0,10,0,0,2288,10737,15664,8143,0,0,0,3147,8000,8100,0,11,0,14,955,,2,0,NA1,0,0
4733,83,0,5914,11,False,False,0,False,9104,NONE,False,0,8014,0,3111,3067,JUNGLE,20,170750,0,0,1167,12909,5,0,40392,845,96,814,1,8010,0,1532162664997,False,13746,16,0,24,1,8135,2830455727,8143,21,4,276,0,5302,0,16,False,3124,457,362,116611,10,0,607,0,1,3211,0,420,0,False,31034,3075,0,15,3340,0,24928,0,10,12075,0,0,0,24306,0,0,0,17344,8917,0,0,0,0,5,9491,12821,9111,0,0,108,1419,8100,8000,0,5,0,8,3123,1,3,0,NA1,0,1
2625,69,0,12407,11,True,False,40,False,9104,NONE,False,0,8014,4,3153,3006,JUNGLE,7,215598,0,0,991,10483,0,1,6052,556,162,4160,1,8010,0,1532159782358,False,15489,14,0,11,5,8135,2830432417,8143,22,7,1449,0,747,0,18,False,3124,936,594,194055,8,0,665,0,3,1419,0,420,0,True,45380,3075,0,7,3340,0,26607,0,10,18975,0,0,0,28812,0,0,0,28628,19190,0,0,0,0,5,13892,18376,9111,0,0,80,3742,8100,8000,0,15,0,11,8689,1,4,0,NA1,0,1
20574,77,0,14336,11,False,True,0,False,9104,NONE,True,0,8014,2,3153,3026,JUNGLE,0,328744,0,0,1707,53653,4,1,63510,818,205,1341,1,8010,0,1532156969373,False,16516,12,0,24,4,8135,2830407376,8143,30,5,1464,0,8120,0,18,False,3065,1172,906,248715,7,0,672,0,3,3124,0,420,0,False,40237,3111,0,32,3340,1,30081,0,12,15975,0,0,0,24559,0,0,0,33927,20853,0,0,0,0,5,19606,23912,9111,0,0,111,1419,8100,8000,0,23,0,3,4953,0,9,0,NA1,0,8
1409,7,0,3944,11,False,False,0,False,9104,DUO_CARRY,False,0,8014,0,3006,0,BOTTOM,427,169152,0,0,1025,5072,0,0,3655,108,202,726,3,8021,0,1532154685052,False,18216,21,0,498,0,8135,2830412559,8139,15,3,264,0,629,0,14,False,3094,523,142,147279,2,0,1163,0,1,3133,0,420,0,False,13743,3095,0,21,3340,0,6115,0,6,8800,0,0,0,9073,0,0,0,14914,14221,0,0,0,0,3,3894,9995,9111,0,0,11,1054,8100,8000,0,1,0,3,64,0,0,0,NA1,0,1
1061,0,0,6572,11,False,False,16,False,8429,DUO_SUPPORT,False,0,8453,0,3098,0,BOTTOM,0,28675,10,0,3190,3599,0,0,14252,128,13,1071,5,8465,0,1532152525723,False,1231,66,0,497,1,8009,2830377229,8014,25,14,350,0,4840,0,13,False,3047,130,509,13192,2,0,546,0,1,1028,0,420,0,False,14382,3109,0,30,3340,0,19415,0,13,7000,0,0,0,6738,0,0,0,7243,1172,896,0,0,0,1269,3983,7411,8473,0,0,0,3504,8000,8400,0,2,132,5,1231,0,2,0,NA1,0,1
